date,open,high,low,close,volume,amount
2020-03-12,2070.222,2076.009,2025.906,2045.926,11672561205,23881196455900.83
2020-03-13,1937.946,2055.331,1937.946,2030.58,13950839042,28328294741904.36
2020-03-16,2034.754,2036.734,1902.398,1910.767,14196996685,27127152764807.395
2020-03-17,1941.202,1955.624,1847.51,1917.702,11821589152,22670285159968.703
2020-03-18,1941.301,1980.789,1887.042,1887.042,11913560022,22481388131034.92
2020-03-19,1898.763,1908.685,1838.313,1894.943,11176365291,21178575173623.414
2020-03-20,1923.96,1928.879,1878.849,1915.046,9944795691,19044741208866.785
2020-03-23,1856.303,1884.449,1819.77,1827.052,10024552044,18315377861094.285
2020-03-24,1869.044,1880.865,1817.554,1876.91,10773832551,20221514053297.41
2020-03-25,1924.991,1940.075,1915.528,1937.855,10937160547,21194631251806.684
2020-03-26,1922.792,1948.631,1914.346,1927.275,9101007676,17540144568762.9
2020-03-27,1955.871,1957.699,1902.788,1903.881,8859591563,16867608044556.004
2020-03-30,1875.306,1877.501,1833.009,1860.484,9324863716,17348759745798.543
2020-03-31,1876.688,1886.266,1862.856,1871.917,7508902572,14056042375870.523
2020-04-01,1875.364,1900.183,1862.272,1864.8,7958868952,14841698821689.6
2020-04-02,1860.075,1916.951,1857.323,1916.951,8346390660,15999621922077.66
2020-04-03,1912.742,1928.339,1898.794,1906.675,7849157759,14965792870141.324
2020-04-07,1944.964,1972.868,1942.798,1969.782,9393440577,18503030166644.215
2020-04-08,1960.356,1974.723,1956.902,1964.757,10268883613,20175860960827.043
2020-04-09,1981.239,2001.36,1975.038,1997.136,10282208246,20534968247583.457
2020-04-10,1990.263,1994.354,1943.694,1949.885,11767320435,22944921606399.977
2020-04-13,1929.797,1937.327,1913.955,1923.081,8272640642,15908958038458.002
2020-04-14,1937.292,1985.426,1934.482,1985.426,8777417571,17426913058320.246
2020-04-15,1991.598,2002.76,1975.796,1977.515,9225082048,18242738126150.723
2020-04-16,1970.732,2012.463,1968.253,2008.388,9438672610,18956516805852.68
2020-04-17,2025.652,2048.278,2015.835,2020.77,10822006428,21868785929509.56
2020-04-20,2027.841,2043.556,2022.587,2043.437,9494812166,19402050488054.543
2020-04-21,2035.77,2035.77,1996.962,2023.942,10083749593,20408924318755.605
