date,open,high,low,close,pct_change,volume,amount,turnover,sh_close,sz_close,cyb_close,hs300_close,broker_close,market_amount,stock_return,sh_return,sz_return,cyb_return,hs300_return,broker_return,market_amount_change,stock_volume_change,stock_turnover_change,atr20,volatility20,broker_trend20,market_trend20,amount_trend5
2021-04-23,27.26,27.79,26.88,26.96,-1.497990500548041,373630.0,56659777.0,2.3190421833791777,3474.166,14351.855,2994.488,5135.453,782.297,574346699171435.1,-0.01497990500548041,0.0026123238658237735,0.010022491384425347,0.018742972618514875,0.00907973757988434,-0.0006425651507407926,0.04959930199453444,0.09013616854906248,0.09013616854906226,0.9575000000000001,0.029233715842782695,0.0007505978078194975,0.015223460082636864,-0.031938212958431134
2021-04-26,26.97,27.64,26.45,26.71,-0.927299703264095,514101.0,77380533.0,3.1909158941129423,3441.166,14224.448,2969.405,5077.237,766.903,628210439201855.2,-0.00927299703264095,-0.00949868256151265,-0.00887738902044366,-0.008376390220965813,-0.011336098295515629,-0.019677948400671386,0.09378262312315044,0.37596285094879955,0.37596285094879955,0.9710000000000003,0.029132720276866014,-0.017144475608451115,0.0033255616943004274,0.06697179785110263
2021-04-27,26.66,27.27,26.62,26.84,0.4867090977161981,341701.0,51073689.0,1.706392997387134,3442.611,14264.084,2986.034,5090.52,761.214,561346447654902.8,0.004867090977161981,0.00041991580760702973,0.002786470167418731,0.00560011180691089,0.002616186717303126,-0.007418148057837803,-0.10643565814013456,-0.33534266612980723,-0.4652341039338167,0.9360000000000002,0.027991806264051823,-0.022370881675018217,0.005516849580435634,-0.023143695265164466
2021-04-28,26.82,27.44,26.47,27.43,2.1982116244411376,454511.0,68500251.0,2.2697457357029207,3457.068,14398.381,3050.585,5119.242,764.199,540942025069810.5,0.021982116244411376,0.004199428863731702,0.009415045508705644,0.021617637307545623,0.005642252657881652,0.003921367709999846,-0.03634907225356898,0.33014243446756075,0.330142434467561,0.9515000000000002,0.028374915239799896,-0.016727997941327954,0.010945480425325949,-0.05166147104826058
2021-04-29,27.37,28.47,27.2,27.83,1.4582573824279965,660048.0,102663184.0,3.296160342344281,3474.901,14464.082,3051.417,5164.169,782.834,560605191507944.2,0.014582573824279965,0.005158417479783406,0.004563082474342117,0.00027273457386045585,0.008776103962266246,0.024385009663713264,0.036349859184255706,0.4522156779483886,0.4522156779483886,0.9355000000000002,0.025631993235449273,0.007074170081110331,0.018652828380269826,-0.021785348751915623
2021-04-30,28.43,28.59,27.35,27.52,-1.1139058569888616,535642.0,82859289.0,2.6748992771646534,3446.856,14438.567,3091.395,5123.489,774.454,591026010800657.0,-0.011139058569888616,-0.00807073352593346,-0.0017640248444388273,0.013101454176862815,-0.007877356453671491,-0.010704696014736226,0.05426424826870635,-0.18848023174072193,-0.18848023174072193,0.9525,0.025731217509187956,-0.002893839610100035,0.010501845661373688,0.025328467791082776
2021-05-06,27.7,28.23,26.82,27.12,-1.4534883720930147,359463.0,54546694.0,1.7950932131301087,3441.283,14210.596,3014.812,5061.124,767.542,591011559344466.2,-0.014534883720930147,-0.0016168357482878593,-0.01578903224952999,-0.02477295848637917,-0.012172369258526716,-0.008924997482096964,-2.4451472399933394e-05,-0.32891184783866834,-0.32891184783866845,0.991,0.025619557774169487,-0.01047421797898973,-0.0008087407133484659,0.03870974490131607
2021-05-07,27.11,27.32,26.4,26.56,-2.064896755162249,320440.0,47799040.0,1.600219408438176,3418.874,13933.809,2910.411,4996.053,754.834,642958820121444.5,-0.020648967551622488,-0.006511815506019203,-0.01947750819177463,-0.034629356656401766,-0.012857025435456637,-0.016556748686065492,0.08789550721240835,-0.10855915629703194,-0.10855915629703194,1.0125000000000002,0.026011451806731336,-0.0248104034141986,-0.012248502670815231,0.09849519859836287
2021-05-10,26.53,26.76,25.96,26.13,-1.6189759036144613,295495.0,43182215.0,1.4756485897404783,3427.991,13917.967,2921.721,4992.422,750.448,644819137354701.2,-0.016189759036144613,0.0026666674466506723,-0.0011369468319825105,0.0038860490837890893,-0.0007267737151708253,-0.005810549074365956,0.0028933691786130478,-0.07784608663088255,-0.07784608663088244,1.0185000000000002,0.02615068126396161,-0.02826702301502837,-0.01187900313392154,0.06391025721997612
2021-05-11,25.8,26.88,25.54,26.69,2.143130501339474,433767.0,63520135.0,2.1661539512545325,3441.845,13966.785,2921.343,5023.06,760.711,658278698018067.5,0.02143130501339474,0.004041434181128123,0.0035075525038965605,-0.00012937580282312844,0.006136901087288038,0.013675830970300451,0.02087338896079083,0.46793346757136334,0.46793346757136334,1.0315000000000003,0.026464141757645696,-0.01318719323077222,-0.004937120919099813,0.05220407464472254
